product_id,product_name,price,category,image_urls,product_url,colors,filename
P436H_15DT_F0013_S_OOO,Striped poplin shirt,"$ 1,390",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P43/P436H/15DTF0013/P436H_15DT_F0013_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/striped-poplin-shirt/P436H_15DT_F0013_S_OOO,,ready_to_wear.html
P162KK_15IV_F0036_S_OOO,Printed silk twill miniskirt,"$ 2,950",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P16/P162KK/15IVF0036/P162KK_15IV_F0036_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/printed-silk-twill-miniskirt/P162KK_15IV_F0036_S_OOO,,ready_to_wear.html
P3N00K_1494_F0032_S_OOO,Printed silk twill mini-dress,"$ 3,600",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P3N/P3N00K/1494F0032/P3N00K_1494_F0032_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/printed-silk-twill-mini-dress/P3N00K_1494_F0032_S_OOO,,ready_to_wear.html
P25M85_15EL_F0040_S_OOO,Wool cardigan,"$ 2,450",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P25/P25M85/15ELF0040/P25M85_15EL_F0040_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/wool-cardigan/P25M85_15EL_F0040_S_OOO,"rgb(206, 152, 96), rgb(171, 124, 68)",ready_to_wear.html
P168KK_15IX_F0161_S_OOO,Printed silk twill skirt,"$ 3,200",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P16/P168KK/15IXF0161/P168KK_15IX_F0161_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P16/P168KK/15IXF0161/P168KK_15IX_F0161_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/printed-silk-twill-skirt/P168KK_15IX_F0161_S_OOO,,ready_to_wear.html
P658R_14ZV_F0036_S_OOO,Printed cotton single-breasted coat,"$ 6,500",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P65/P658R/14ZVF0036/P658R_14ZV_F0036_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P65/P658R/14ZVF0036/P658R_14ZV_F0036_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/printed-cotton-single-breasted-coat/P658R_14ZV_F0036_S_OOO,"rgb(216, 183, 153), rgb(210, 210, 210)",ready_to_wear.html
P658R_14ZV_F0276_S_OOO,Printed cotton single-breasted coat,"$ 6,500",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P65/P658R/14ZVF0276/P658R_14ZV_F0276_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P65/P658R/14ZVF0276/P658R_14ZV_F0276_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/printed-cotton-single-breasted-coat/P658R_14ZV_F0276_S_OOO,"rgb(210, 210, 210), rgb(216, 183, 153)",ready_to_wear.html
P435H_15GH_F0594_S_OOO,Paisley print chiffon shirt,"$ 3,300",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P43/P435H/15GHF0594/P435H_15GH_F0594_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P43/P435H/15GHF0594/P435H_15GH_F0594_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/paisley-print-chiffon-shirt-/P435H_15GH_F0594_S_OOO,,ready_to_wear.html
P123J_15GH_F0594_S_OOO,Printed chiffon midi-skirt,"$ 1,990",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P12/P123J/15GHF0594/P123J_15GH_F0594_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P12/P123J/15GHF0594/P123J_15GH_F0594_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/printed-chiffon-midi-skirt/P123J_15GH_F0594_S_OOO,,ready_to_wear.html
P925M_15G8_F0008_S_OOO,Printed silk twill top,"$ 1,590",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P92/P925M/15G8F0008/P925M_15G8_F0008_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P92/P925M/15G8F0008/P925M_15G8_F0008_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/printed-silk-twill-top/P925M_15G8_F0008_S_OOO,,ready_to_wear.html
P145K_15HA_F063H_S_OOO,Printed silk twill miniskirt,"$ 1,720",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P14/P145K/15HAF063H/P145K_15HA_F063H_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P14/P145K/15HAF063H/P145K_15HA_F063H_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/printed-silk-twill-miniskirt/P145K_15HA_F063H_S_OOO,,ready_to_wear.html
P658R_15LJ_F0036_S_OOO,Printed cotton single-breasted coat,"$ 6,500",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P65/P658R/15LJF0036/P658R_15LJ_F0036_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P65/P658R/15LJF0036/P658R_15LJ_F0036_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/printed-cotton-single-breasted-coat/P658R_15LJ_F0036_S_OOO,,ready_to_wear.html
P26525_15LT_F0627_S_OOO,Oversized wool turtleneck,"$ 7,800",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P26/P26525/15LTF0627/P26525_15LT_F0627_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P26/P26525/15LTF0627/P26525_15LT_F0627_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/oversized-wool-turtleneck/P26525_15LT_F0627_S_OOO,,ready_to_wear.html
P3N29H_15L4_F0276_S_OOO,Printed silk twill mini-dress,"$ 2,550",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P3N/P3N29H/15L4F0276/P3N29H_15L4_F0276_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P3N/P3N29H/15L4F0276/P3N29H_15L4_F0276_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/printed-silk-twill-mini-dress/P3N29H_15L4_F0276_S_OOO,,ready_to_wear.html
P168KK_15IW_F0934_S_OOO,Printed silk twill skirt,"$ 3,200",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P16/P168KK/15IWF0934/P168KK_15IW_F0934_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P16/P168KK/15IWF0934/P168KK_15IW_F0934_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/printed-silk-twill-skirt/P168KK_15IW_F0934_S_OOO,,ready_to_wear.html
P3N02K_15L2_F0002_S_OOO,Printed silk twill mini-dress,"$ 4,500",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P3N/P3N02K/15L2F0002/P3N02K_15L2_F0002_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P3N/P3N02K/15L2F0002/P3N02K_15L2_F0002_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/printed-silk-twill-mini-dress/P3N02K_15L2_F0002_S_OOO,,ready_to_wear.html
P224I_148M_F0638_S_OOO,Floral print jacquard shorts,"$ 1,990",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P22/P224I/148MF0638/P224I_148M_F0638_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P22/P224I/148MF0638/P224I_148M_F0638_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/floral-print-jacquard-shorts/P224I_148M_F0638_S_OOO,,ready_to_wear.html
P436H_15EQ_F0237_S_OOO,Striped poplin shirt,"$ 1,390",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P43/P436H/15EQF0237/P436H_15EQ_F0237_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P43/P436H/15EQF0237/P436H_15EQ_F0237_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/striped-poplin-shirt/P436H_15EQ_F0237_S_OOO,,ready_to_wear.html
P133K_15EQ_F0237_S_OOO,Striped poplin skirt,"$ 1,120",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P13/P133K/15EQF0237/P133K_15EQ_F0237_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P13/P133K/15EQF0237/P133K_15EQ_F0237_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/striped-poplin-skirt/P133K_15EQ_F0237_S_OOO,,ready_to_wear.html
P923M_15ER_F0008_S_OOO,Striped chambray top,"$ 1,050",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P92/P923M/15ERF0008/P923M_15ER_F0008_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P92/P923M/15ERF0008/P923M_15ER_F0008_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/striped-chambray-top/P923M_15ER_F0008_S_OOO,,ready_to_wear.html
P133KC_15ER_F0008_S_OOO,Striped chambray miniskirt,$ 995,ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P13/P133KC/15ERF0008/P133KC_15ER_F0008_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P13/P133KC/15ERF0008/P133KC_15ER_F0008_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/striped-chambray-miniskirt/P133KC_15ER_F0008_S_OOO,,ready_to_wear.html
P3N25R_15ER_F0008_S_OOO,Striped chambray dress,"$ 2,800",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P3N/P3N25R/15ERF0008/P3N25R_15ER_F0008_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P3N/P3N25R/15ERF0008/P3N25R_15ER_F0008_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/striped-chambray-dress/P3N25R_15ER_F0008_S_OOO,,ready_to_wear.html
P229IG_15DT_F0013_S_OOO,Striped poplin shorts,"$ 1,270",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P22/P229IG/15DTF0013/P229IG_15DT_F0013_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P22/P229IG/15DTF0013/P229IG_15DT_F0013_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/striped-poplin-shorts/P229IG_15DT_F0013_S_OOO,,ready_to_wear.html
P438H_15ER_F0008_S_OOO,Striped poplin blouse,"$ 1,290",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P43/P438H/15ERF0008/P438H_15ER_F0008_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P43/P438H/15ERF0008/P438H_15ER_F0008_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/striped-poplin-blouse/P438H_15ER_F0008_S_OOO,,ready_to_wear.html
P25M99_15IL_F0008_S_OOO,Cotton cardigan,"$ 3,150",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P25/P25M99/15ILF0008/P25M99_15IL_F0008_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P25/P25M99/15ILF0008/P25M99_15IL_F0008_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/cotton-cardigan/P25M99_15IL_F0008_S_OOO,,ready_to_wear.html
P3M84R_15FB_F0013_S_OOO,Checked cotton mini-dress,"$ 3,200",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P3M/P3M84R/15FBF0013/P3M84R_15FB_F0013_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P3M/P3M84R/15FBF0013/P3M84R_15FB_F0013_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/checked-cotton-mini-dress/P3M84R_15FB_F0013_S_OOO,,ready_to_wear.html
P921MR_15GD_F0028_S_OOO,Checked cotton bandana top,"$ 1,790",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P92/P921MR/15GDF0028/P921MR_15GD_F0028_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P92/P921MR/15GDF0028/P921MR_15GD_F0028_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/checked-cotton-bandana-top/P921MR_15GD_F0028_S_OOO,,ready_to_wear.html
P151KR_15GD_F0028_S_OOO,Checked cotton skirt,"$ 1,790",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P15/P151KR/15GDF0028/P151KR_15GD_F0028_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P15/P151KR/15GDF0028/P151KR_15GD_F0028_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/checked-cotton-skirt/P151KR_15GD_F0028_S_OOO,,ready_to_wear.html
P433HR_15GD_F0076_S_OOO,Checked cropped cotton shirt,"$ 1,850",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P43/P433HR/15GDF0076/P433HR_15GD_F0076_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P43/P433HR/15GDF0076/P433HR_15GD_F0076_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/checked-cropped-cotton-shirt/P433HR_15GD_F0076_S_OOO,,ready_to_wear.html
P433HR_15E9_F0012_S_OOO,Checked cropped cotton shirt,"$ 1,850",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P43/P433HR/15E9F0012/P433HR_15E9_F0012_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P43/P433HR/15E9F0012/P433HR_15E9_F0012_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/checked-cropped-cotton-shirt-/P433HR_15E9_F0012_S_OOO,,ready_to_wear.html
P916MR_15FA_F0012_S_OOO,Checked cotton halter top,"$ 1,470",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P91/P916MR/15FAF0012/P916MR_15FA_F0012_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P91/P916MR/15FAF0012/P916MR_15FA_F0012_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/checked-cotton-halter-top/P916MR_15FA_F0012_S_OOO,,ready_to_wear.html
P26503_14OQ_F0003_S_OOO,Cashmere and silk turtleneck,"$ 1,720",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P26/P26503/14OQF0003/P26503_14OQ_F0003_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P26/P26503/14OQF0003/P26503_14OQ_F0003_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/cashmere-and-silk-turtleneck/P26503_14OQ_F0003_S_OOO,,ready_to_wear.html
GFT027_15C8_F0008_S_OOO,Crop top in selvedge denim,"$ 1,850",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/G/GFT/GFT027/15C8F0008/GFT027_15C8_F0008_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/G/GFT/GFT027/15C8F0008/GFT027_15C8_F0008_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/crop-top-in-selvedge-denim/GFT027_15C8_F0008_S_OOO,,ready_to_wear.html
GFD178_15C8_F0008_S_OOO,Flared skirt in selvedge denim,"$ 2,200",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/G/GFD/GFD178/15C8F0008/GFD178_15C8_F0008_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/G/GFD/GFD178/15C8F0008/GFD178_15C8_F0008_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/flared-skirt-in-selvedge-denim/GFD178_15C8_F0008_S_OOO,,ready_to_wear.html
GFD179_15C8_F0008_S_OOO,Miniskirt in selvedge denim,"$ 1,470",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/G/GFD/GFD179/15C8F0008/GFD179_15C8_F0008_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/G/GFD/GFD179/15C8F0008/GFD179_15C8_F0008_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/miniskirt-in-selvedge-denim/GFD179_15C8_F0008_S_OOO,,ready_to_wear.html
GFP515_15C8_F0008_S_LMO,"Wide, selvedge denim jeans","$ 1,850",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/G/GFP/GFP515/15C8F0008/GFP515_15C8_F0008_S_LMO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/G/GFP/GFP515/15C8F0008/GFP515_15C8_F0008_S_LMO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/wide-selvedge-denim-jeans/GFP515_15C8_F0008_S_LMO,,ready_to_wear.html
GFP516_15C8_F0008_S_OOO,Straight jeans in selvedge denim,"$ 1,650",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/G/GFP/GFP516/15C8F0008/GFP516_15C8_F0008_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/G/GFP/GFP516/15C8F0008/GFP516_15C8_F0008_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/straight-jeans-in-selvedge-denim/GFP516_15C8_F0008_S_OOO,,ready_to_wear.html
P25N01_15IO_F0399_S_OOO,Wool cardigan,"$ 2,550",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P25/P25N01/15IOF0399/P25N01_15IO_F0399_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P25/P25N01/15IOF0399/P25N01_15IO_F0399_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/wool-cardigan/P25N01_15IO_F0399_S_OOO,,ready_to_wear.html
P29B39_15I3_F0031_S_OOO,Wool vest with an Argyle pattern,"$ 1,720",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P29/P29B39/15I3F0031/P29B39_15I3_F0031_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P29/P29B39/15I3F0031/P29B39_15I3_F0031_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/wool-vest-with-an-argyle-pattern/P29B39_15I3_F0031_S_OOO,,ready_to_wear.html
P24G2Z_15I3_F0036_S_OOO,Argyle knit wool polo shirt,"$ 1,850",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P24/P24G2Z/15I3F0036/P24G2Z_15I3_F0036_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P24/P24G2Z/15I3F0036/P24G2Z_15I3_F0036_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/argyle-knit-wool-polo-shirt/P24G2Z_15I3_F0036_S_OOO,,ready_to_wear.html
GFB297_12O0_F0BAU_S_222,Denim blouson jacket,"$ 2,350",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/G/GFB/GFB297/12O0F0BAU/GFB297_12O0_F0BAU_S_222_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/G/GFB/GFB297/12O0F0BAU/GFB297_12O0_F0BAU_S_222_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/denim-blouson-jacket/GFB297_12O0_F0BAU_S_222,,ready_to_wear.html
GFP492_12O0_F0BAU_S_231,Five-pocket denim jeans,"$ 1,590",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/G/GFP/GFP492/12O0F0BAU/GFP492_12O0_F0BAU_S_231_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/G/GFP/GFP492/12O0F0BAU/GFP492_12O0_F0BAU_S_231_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/five-pocket-denim-jeans/GFP492_12O0_F0BAU_S_231,,ready_to_wear.html
GFB309_13Z6_F0BAN_S_OOO,Denim blouson jacket,"$ 2,500",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/G/GFB/GFB309/13Z6F0BAN/GFB309_13Z6_F0BAN_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/G/GFB/GFB309/13Z6F0BAN/GFB309_13Z6_F0BAN_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/denim-blouson-jacket/GFB309_13Z6_F0BAN_S_OOO,,ready_to_wear.html
GFP491_12O0_F0BAU_S_231,Five-pocket denim jeans,"$ 1,490",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/G/GFP/GFP491/12O0F0BAU/GFP491_12O0_F0BAU_S_231_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/G/GFP/GFP491/12O0F0BAU/GFP491_12O0_F0BAU_S_231_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/five-pocket-denim-jeans/GFP491_12O0_F0BAU_S_231,,ready_to_wear.html
GFT011_13Z6_F0BAN_S_212,Organic denim top,$ 925,ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/G/GFT/GFT011/13Z6F0BAN/GFT011_13Z6_F0BAN_S_212_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/G/GFT/GFT011/13Z6F0BAN/GFT011_13Z6_F0BAN_S_212_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/organic-denim-top/GFT011_13Z6_F0BAN_S_212,,ready_to_wear.html
GFP479_13Z6_F0BAN_S_OOO,High-waisted denim jeans,"$ 1,490",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/G/GFP/GFP479/13Z6F0BAN/GFP479_13Z6_F0BAN_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/G/GFP/GFP479/13Z6F0BAN/GFP479_13Z6_F0BAN_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/high-waisted-denim-jeans/GFP479_13Z6_F0BAN_S_OOO,,ready_to_wear.html
GFT024_13Z6_F0BAN_S_OOO,Denim top,"$ 1,070",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/G/GFT/GFT024/13Z6F0BAN/GFT024_13Z6_F0BAN_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/G/GFT/GFT024/13Z6F0BAN/GFT024_13Z6_F0BAN_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/denim-top/GFT024_13Z6_F0BAN_S_OOO,,ready_to_wear.html
GFD175_13Z6_F0BAN_S_OOO,Denim maxi-skirt,"$ 1,620",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/G/GFD/GFD175/13Z6F0BAN/GFD175_13Z6_F0BAN_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/G/GFD/GFD175/13Z6F0BAN/GFD175_13Z6_F0BAN_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/denim-maxi-skirt/GFD175_13Z6_F0BAN_S_OOO,,ready_to_wear.html
